id,user_id,place_guess,latitude,longitude,place_town_name,place_county_name,place_state_name,place_country_name,place_admin1_name,species_guess,scientific_name,field:flower bee is visiting,field:location name,field:number of bees collected,field:oba collection method,field:oba collector id,field:sample id,field:trap installed,field:trap removed
10496035,792468,"12125 SE Burns Rd, McMinnville, OR, US",45.1717250635,-123.1861913408,,Yamhill,Oregon,United States,Oregon,bigleaf maple,Acer macrophyllum,,McMinnville O'Loughlin Farms,2,net,Mol,1,"",""
10496093,792468,"12125 SE Burns Rd, McMinnville, OR, US",45.172526386,-123.1853537568,,Yamhill,Oregon,United States,Oregon,,Salix,,O'Loughlin Farms,2,net,Mol,2,"",""
10496679,754260,"3334 NW Covey Run, Corvallis, OR 97330, USA",44.59890375,-123.31543064,,Benton,Oregon,United States,Oregon,Vine Hill Manzanita,Arctostaphylos densiflora,,backyard,5,net,EW,1,,
10497653,792468,"12125 SE Burns Rd, McMinnville, OR, US",45.1709812119,-123.1860797122,,Yamhill,Oregon,United States,Oregon,"Prunus salicina ""Santa Rosa""",Prunus salicina,,O'Loughlin Farms,1,net,Mol,5,"",""
10497683,792468,"12125 SE Burns Rd, McMinnville, OR, US",45.1710050094,-123.1862219617,,Yamhill,Oregon,United States,Oregon,Pears,Pyrus,,O'Loughlin Farms,3,net,Mol,4,"",""
10497898,792468,mcminnville oregon,45.173867,-123.180494,,Yamhill,Oregon,United States,Oregon,Willows,Salix,,O'Loughlin Farms,2,net,Mol,3,"",""
10497900,816762,"Yamhill County, US-OR, US",45.1335502463,-123.3750751243,,Yamhill,Oregon,United States,Oregon,Yellow head bumblebee,Salix,,Sheridan,"",net,RD,1,"",""
10507934,429964,"17701 Gopher Valley Rd, Sheridan, OR 97378, USA",45.13395608,-123.37272183,,Yamhill,Oregon,United States,Oregon,bearberries and manzanitas,Arctostaphylos,,"",1,net,jt,4,,
10507984,429964,"17701 Gopher Valley Rd, Sheridan, OR 97378, USA",45.13396833,-123.37254298,,Yamhill,Oregon,United States,Oregon,vine hill manzanita,Arctostaphylos densiflora,,"",1,net,apm,4,,
10515339,792083,"Smith Ln, Corvallis, OR, US",44.5653761505,-123.240877418,,Linn,Oregon,United States,Oregon,Pacific Willow,Salix lasiandra,,ORGS student farm,2,net,KDZ,1,"",""
10517115,792083,"Smith Ln, Corvallis, OR, US",44.565536161,-123.2408019808,,Linn,Oregon,United States,Oregon,Barberries and allies,Berberidaceae,,ORGS farm,1,net,KDZ,2,"",""
10529001,429964,"Coos County, US-OR, US",43.39458552,-124.2532426,,Coos,Oregon,United States,Oregon,,Glandora diffusa,,"",1,net,apm,5,,
10534415,792468,"12104 SE Burns Rd, McMinnville, OR, US",45.171469232,-123.1865217992,,Yamhill,Oregon,United States,Oregon,dandelions,Taraxacum,,O'Loughlin Farms,2,net,Mol,6,"",""
10534831,429964,"2075 Overleaf Loop, Yachats, OR 97498, USA",44.32433021,-124.10387329,,Lincoln,Oregon,United States,Oregon,,Ceanothus gloriosus,,"",6,net,apm,6,,
10535374,792468,"12125 SE Burns Rd, McMinnville, OR, US",45.170873742,-123.186200806,,Yamhill,Oregon,United States,Oregon,Sweetberry Honeysuckle,Lonicera caerulea,,O'Loughlin Farms,11,net,Mol,7,"",""
10556591,429964,"804 Trail, Yachats, OR 97498, USA",44.32584701,-124.10352012,,Lincoln,Oregon,United States,Oregon,willows,Salix,,"",3,net,apm,7,,
10557681,754260,"3334 NW Covey Run, Corvallis, OR 97330, USA",44.59921851,-123.31583527,,Benton,Oregon,United States,Oregon,Dixonville-Gellatly soil,,,backyard,1,net,EW,2,,
10602999,175529,"1255 NW Highland Dell Dr, Corvallis, OR, US",44.6029940062,-123.2644321584,,Benton,Oregon,United States,Oregon,Oregon Grape,Berberis aquifolium,,"",2,net,JLP,4,"",""
10622496,792468,"12127–14043 SE Burns Rd, McMinnville, OR, US",45.1678027877,-123.1847681959,,Yamhill,Oregon,United States,Oregon,field mustard,Brassica rapa,,French's property,5,net,Mol,8,"",""
10622586,792468,"12127–14043 SE Burns Rd, McMinnville, OR, US",45.167803615,-123.1848865427,,Yamhill,Oregon,United States,Oregon,Raphanus,Raphanus,,O'Loughlin Farms,3,net,Mol,9,"",""
10623567,792468,"12100 SE Burns Rd, McMinnville, OR, US",45.1714772306,-123.1866010263,,Yamhill,Oregon,United States,Oregon,"",,,O'Loughlin Farms,2,net,Mol,10,"",""
10624405,819248,"314 N 7th St, Carlton, OR, US",45.295355156,-123.1696700816,,Yamhill,Oregon,United States,Oregon,Western Honey Bee,Apis mellifera,,Cherry Blossom Trees -Carlton,1,net,MW,MW1,"",""
10627113,271351,Luckiamute State Natural Are,44.73161,-123.15276,,Polk,Oregon,United States,Oregon,Oregon Grape,Berberis aquifolium,,Luckiamute State Natural Area,1,net,TER,1,,
10627298,271351,Luckiamute State Natural Area,44.735226,-123.148284,,Polk,Oregon,United States,Oregon,Willows,Salix,,Luckiamute State Natural Area,1,net,JAB,1,,
10636586,175529,"311 NW Lewisburg Ave, Corvallis, OR, US",44.6306000976,-123.246889338,,Benton,Oregon,United States,Oregon,,Salicaceae,,"",1,net,JLP,5,"",""
10637716,271351,Luckiamute State Natural Area,44.736316,-123.147275,,Polk,Oregon,United States,Oregon,Common Daisy,Bellis perennis,,Luckiamute State Natural Area,1,net,TER,2,,
10642156,271351,Minto-Brown Island Park,44.918991,-123.078262,,Marion,Oregon,United States,Oregon,Oregon Grape,Berberis aquifolium,,Minto-Brown Island Park,1,net,TER,3,,
10643243,271351,Luckiamute State Natural Area,44.73161,-123.15276,,Polk,Oregon,United States,Oregon,"",,,Luckiamute State Natural Area,1,net,TER,4,,
10643289,271351,Luckiamute State Natural Area,44.73161,-123.15276,,Polk,Oregon,United States,Oregon,Berberis aquifolium,Berberis aquifolium,,Luckiamute State Natural Area,2,net,TER,5,,
10643342,271351,Luckiamute State Natural Area,44.73396,-123.14907,,Polk,Oregon,United States,Oregon,Willows,Salix,,Luckiamute State Natural Area,2,net,TER,6,,
10644098,754260,"3334 NW Covey Run, Corvallis, OR 97330, USA",44.59915206,-123.31502679,,Benton,Oregon,United States,Oregon,aberrant cocoons from mason bee harvest,,,backyard,2,net,EW,3,,
10653940,819248,"6451 NE Hilltop Ln, Dayton, OR, US",45.2582570535,-123.0743143196,,Yamhill,Oregon,United States,Oregon,Red-flowering Currant,Ribes sanguineum,,Winters Hill,1,net,MW,2,"",""
10661818,800960,"41010 SE Louden Rd, Corbett, OR, US",45.50322,-122.24112,,Multnomah,Oregon,United States,Oregon,Western Honey Bee,Apis mellifera,,"",1,net,PA,2,"",""
10665863,792468,"12275 SE Burns Rd, McMinnville, OR, US",45.1712746822,-123.1861222508,,Yamhill,Oregon,United States,Oregon,Elaeagnus multiflora,Elaeagnus multiflora,,O'Loughlin Farms,2,net,Mol,11,"",""
10665872,752114,"Jefferson, OR  97352, Jefferson, OR, US",44.7858393273,-123.0164382953,,Marion,Oregon,United States,Oregon,,Sphecodes puncticeps,,Jefferson Farm. Heritage Seedlings.,2,net,STephanie Hazen,SH8,"",""
10666295,792468,"12125 SE Burns Rd, McMinnville, OR, US",45.1710387041,-123.1857405904,,Yamhill,Oregon,United States,Oregon,currants,Ribes rubrum,,O'Loughlin Farms,1,net,Mol,12,"",""
10666350,792468,"12125 SE Burns Rd, McMinnville, OR, US",45.1708778974,-123.1863050407,,Yamhill,Oregon,United States,Oregon,Gooseberry Family,Grossulariaceae,,O'Loughlin Farms,3,net,Mol,13,"",""
10666518,754260,"3334 NW Covey Run, Corvallis, OR 97330, USA",44.5989316,-123.31527462,,Benton,Oregon,United States,Oregon,creeping mahonia,Berberis repens,,backyard,4,net,EW,4,,
10666968,792468,"12125 SE Burns Rd, McMinnville, OR, US",45.1711638013,-123.1859621904,,Yamhill,Oregon,United States,Oregon,daffodils,Narcissus,,O'Loughlin Farms,1,net,Mol,14,"",""
10669493,792468,"12125 SE Burns Rd, McMinnville, OR, US",45.1709087197,-123.1857903916,,Yamhill,Oregon,United States,Oregon,Red-flowering Currant,Ribes sanguineum,,O'Loughlin Farms,1,net,Mol,15,"",""
10669799,792468,"12125 SE Burns Rd, McMinnville, OR, US",45.1715379832,-123.185405654,,Yamhill,Oregon,United States,Oregon,Saskatoon,Amelanchier alnifolia,,O'Loughlin Farms,1,net,Mol,16,"",""
10670013,792468,"12275 SE Burns Rd, McMinnville, OR, US",45.1712603896,-123.1866378409,,Yamhill,Oregon,United States,Oregon,,Forsythia,,O'Loughlin Farms,1,net,Mol,16,"",""
10688898,175529,"1255 NW Highland Dell Dr, Corvallis, OR, US",44.6031077067,-123.2650981006,,Benton,Oregon,United States,Oregon,Oregon grape,Berberis aquifolium,,"",1,net,JLP,6,"",""
10708005,800960,"41010 SE Louden Rd, Corbett, OR, US",45.5032462813,-122.24088192,,Multnomah,Oregon,United States,Oregon,,Bombus,,Louden,1,net,Pa,1,"",""
10708415,800960,"42338 E Larch Mountain Rd, Corbett, OR, US",45.5213466667,-122.2337716667,,Multnomah,Oregon,United States,Oregon,,Andrena,,Louden,2,net,Pa,5,"",""
10735646,792468,"3001–3099 Middlebrook Dr, Newberg, OR, US",45.3134268503,-122.9484214943,,Yamhill,Oregon,United States,Oregon,"plums, cherries, and allies",Prunus,,"",2,net,Mol,18,"",""
10735698,792468,"3006 Middlebrook Dr, Newberg, OR, US",45.3135026476,-122.9484410347,,Yamhill,Oregon,United States,Oregon,Rosemary,Rosmarinus officinalis,,"",1,net,Mol,19,"",""
10736606,792468,"12125 SE Burns Rd, McMinnville, OR, US",45.1710637524,-123.1859993441,,Yamhill,Oregon,United States,Oregon,,Hydrangea macrophylla,,O'Loughlon Farms,1,net,Mol,20,"",""
10736630,792775,"Yamhill County, US-OR, US",45.1706325,-123.186087,,Yamhill,Oregon,United States,Oregon,Red Currant,Ribes rubrum,,O'Loughlin farms,5,net,dto,dto2,,
10736638,792775,"12125 SE Burns Rd, McMinnville, OR 97128, USA",45.17243634,-123.18537426,,Yamhill,Oregon,United States,Oregon,willows,Salix,,oloughlin farms,11,net,dto,dto3,,
10736653,792775,"12125 SE Burns Rd, McMinnville, OR 97128, USA",45.17102894,-123.18595467,,Yamhill,Oregon,United States,Oregon,Mophead Hydrangea,Hydrangea macrophylla,,O'Loughlin farms,1,net,dto,dto4,,
10739111,754260,"3334 NW Covey Run, Corvallis, OR 97330, USA",44.59941624,-123.31567658,,Benton,Oregon,United States,Oregon,Virginia Strawberry,Fragaria virginiana,,backyard,1,net,EW,5,,
10739367,792468,"12125 SE Burns Rd, McMinnville, OR, US",45.1742285532,-123.183572867,,Yamhill,Oregon,United States,Oregon,Wild Cherry,Prunus avium,,O'Loughlin Farms,10,net,Mol,21,"",""
10739673,792468,"12125 SE Burns Rd, McMinnville, OR, US",45.1749407931,-123.1836261314,,Yamhill,Oregon,United States,Oregon,,Erythronium,,O'Loughlin Farms,1,net,Mol,22,"",""
10739674,841568,"2436 Olive St, Eugene, OR 97405, USA",44.03282118,-123.09454139,,Lane,Oregon,United States,Oregon,Red Osier Dogwood,Cornus sericea,,"my yard, 2436 Olive St, Eugene",2,net,LOH,1,,
10739684,754260,"3334 NW Covey Run, Corvallis, OR 97330, USA",44.59899064,-123.31574439,,Benton,Oregon,United States,Oregon,Common Pear,Pyrus communis,,backyard,3,net,EW,6,,
10740135,792468,"12125 SE Burns Rd, McMinnville, OR, US",45.1715438265,-123.1840469971,,Yamhill,Oregon,United States,Oregon,Raphanus,Raphanus,,O'Loughlin Farms,1,net,Mol,23,"",""
10740140,816767,"17701 SW Gopher Valley Rd, Sheridan, OR, US",45.1335271961,-123.372759875,,Yamhill,Oregon,United States,Oregon,Oregon grape,Berberis aquifolium,,gvr,2,net,jt,6,"",""
10740602,792468,"12275 SE Burns Rd, McMinnville, OR, US",45.1706960319,-123.1861523868,,Yamhill,Oregon,United States,Oregon,,Pieris japonica,,O'Loughlin Farms,1,net,Mol,24,"",""
10764343,792468,"12680 SE Burns Rd, McMinnville, OR, US",45.1656404645,-123.1864951569,,Yamhill,Oregon,United States,Oregon,bigleaf maple,Acer macrophyllum,,O'Loughlin Farms,1,net,Mol,25,"",""
10818760,793138,Rolling Hills Rd,44.759065,-123.232464,,Polk,Oregon,United States,Oregon,"",,,,1,net,PW,1,,
10818810,793138,Rolling Hills Rd,44.759065,-123.232464,,Polk,Oregon,United States,Oregon,"",,,,1,net,PW,2,,
10818849,793138,Rolling Hills Rd,44.759065,-123.232464,,Polk,Oregon,United States,Oregon,"",,,,1,pan trap,PW,3,,
10818877,793138,Rolling Hills Rd,44.759065,-123.232464,,Polk,Oregon,United States,Oregon,"",,,,1,pan trap,PW,4,,
10819945,793138,Rolling Hills Rd,44.759065,-123.232464,,Polk,Oregon,United States,Oregon,"",,,,4,pan trap,PW,5,2018-04-04 15:00,2018-04-05 8:50
10820023,793138,Rolling Hills Rd,44.759065,-123.232464,,Polk,Oregon,United States,Oregon,"",,,,2,pan trap,PW,6,2018-04-04 15:00,2018-04-07 11:15
10828253,793138,Rolling Hills Rd,44.759065,-123.232464,,Polk,Oregon,United States,Oregon,"",,,,5,pan trap,PW,7,2018-04-09 12:15,2018-04-09 15:45
10970652,793138,Rolling Hills Rd,44.759065,-123.232464,,Polk,Oregon,United States,Oregon,Common Dandelion,Taraxacum officinale,,,2,net,PW,8,,
10988408,841568,"2436 Olive St, Eugene, OR 97405, USA",44.03286594,-123.09428704,,Lane,Oregon,United States,Oregon,European Holly,Ilex aquifolium,,LOH yard,2,net,LOH,3,,
10992803,841568,"Lane County, OR, USA",43.853892,-122.637524,,Lane,Oregon,United States,Oregon,Seep Monkeyflower,Erythranthe guttata,,Lookout Point Reservior,1,net,LOH,2,,
11081813,792468,"12125 SE Burns Rd, McMinnville, OR, US",45.1710791803,-123.1859791582,,Yamhill,Oregon,United States,Oregon,Rhubarb,Rheum rhabarbarum,,"McMinnville, O'Loughlin Farms",4,net,Mol,26,"",""
11081897,792468,"12125 SE Burns Rd, McMinnville, OR, US",45.1710129531,-123.1858856453,,Yamhill,Oregon,United States,Oregon,Wild Cherry,Prunus avium,,"McMinnville, O'Loughlin Farms",4,net,Mol,27,"",""
11083208,792468,"12275 SE Burns Rd, McMinnville, OR, US",45.1713096637,-123.1858797279,,Yamhill,Oregon,United States,Oregon,Dandelions,Taraxacum,,"McMinnville, O'Loughlin Farms",8,net,Mol,28,"",""
11088180,806535,"3774 Logsden Rd, Siletz, OR 97380, USA",44.73500809,-123.8607587,,Lincoln,Oregon,United States,Oregon,Rhododendron indicum,Rhododendron indicum,,home. 30 feet north side of house,3,net,rah,1,,
11134789,792083,"640 SE Crystal Lake Dr, Corvallis, OR, US",44.5528530662,-123.2607889409,,Benton,Oregon,United States,Oregon,,Acer macrophyllum,,Willamette Park along Willamette River.,1,net,KDZ,3,"",""
11135058,792468,"12125 SE Burns Rd, McMinnville, OR, US",45.1708652269,-123.1862499847,,Yamhill,Oregon,United States,Oregon,,Hyacinthoides,,O'Loughlin Farms,1,net,Mol,29,"",""
11135442,792468,"12125 SE Burns Rd, McMinnville, OR, US",45.1709138709,-123.1859575493,,Yamhill,Oregon,United States,Oregon,Ribes nidigrolaria,Ribes nidigrolaria,,O'Loughlin Farms,1,net,Mol,30,"",""
11136055,792468,"12125 SE Burns Rd, McMinnville, OR, US",45.1708682203,-123.1859418761,,Yamhill,Oregon,United States,Oregon,apple,Malus × domestica,,O'Loughlin Farms,2,net,Mol,31,"",""
11136237,792468,"12275 SE Burns Rd, McMinnville, OR, US",45.1711945952,-123.1860268495,,Yamhill,Oregon,United States,Oregon,,Viburnum carlesii,,O'Loughlin Farms,1,net,Mol,32,"",""
11137495,792468,"12125 SE Burns Rd, McMinnville, OR, US",45.1741814445,-123.1850713797,,Yamhill,Oregon,United States,Oregon,Saskatoon,Amelanchier alnifolia,,O'Loughlin Farms,1,net,Mol,33,"",""
11138583,792468,"12125 SE Burns Rd, McMinnville, OR, US",45.1750202988,-123.1828879737,,Yamhill,Oregon,United States,Oregon,Hooker's fairybells,Prosartes hookeri,,O'loughlin Farms,1,net,Mol,34,"",""
11141260,429964,"2824 NW Orchard Ave, Corvallis, OR 97330, USA",44.56757934,-123.28300022,,Benton,Oregon,United States,Oregon,Ceanothus,Ceanothus,,OSU,7,net,apm,8,,
11141292,806535,"3774 Logsden Rd, Siletz, OR 97380, USA",44.73501527,-123.86068284,,Lincoln,Oregon,United States,Oregon,rhododendrons and azaleas,Rhododendron,,home. 30 feet from north side of house,4,net,rah,2,,
11175838,823959,"30314–30598 Le Bleu Rd, Eugene, OR, US",43.9556592115,-123.1439425169,,Lane,Oregon,United States,Oregon,,Lithospermum,,"",1,net,NES,2,"",""
11180266,524107,"3658 Upper River Rd, Grants Pass, OR, US",42.446451271,-123.3826795222,,Josephine,Oregon,United States,Oregon,,,,Raptor Creek Farm,8,net,Rachel Nypaver (JoCo),RMN1,"",""
11183143,806535,"3774 Logsden Rd, Siletz, OR 97380, USA",44.73501634,-123.86066484,,Lincoln,Oregon,United States,Oregon,Sticky mouse-ear chickweed,Cerastium glomeratum,,home. 15 feet from north side of house,2,net,rah,3,,
11185469,792468,"12275 SE Burns Rd, McMinnville, OR, US",45.1706966107,-123.1860364433,,Yamhill,Oregon,United States,Oregon,,Vaccinium,,O'Loughlin Farms,4,net,Mol,35,"",""
11186002,792083,"825 Vista Ave SE, Salem, OR, US",44.9115350486,-123.0377302347,,Marion,Oregon,United States,Oregon,common hawthorn,Crataegus monogyna,,"Clark Creek Park, Mill Creek",3,net,KDZ,4,"",""
11187297,754260,"3334 NW Covey Run, Corvallis, OR 97330, USA",44.59931842,-123.31485116,,Benton,Oregon,United States,Oregon,Red-flowering Currant,Ribes sanguineum,,backyard,4,net,EW,7,,
11187409,792468,"12125 SE Burns Rd, McMinnville, OR, US",45.1745634964,-123.1832631216,,Yamhill,Oregon,United States,Oregon,Common Cowparsnip,Heracleum maximum,,O'loughlin Farms,8,net,Mol,36,"",""
11187966,754260,"3334 NW Covey Run, Corvallis, OR 97330, USA",44.59907683,-123.3155583,,Benton,Oregon,United States,Oregon,Big Berry Manzanita,Arctostaphylos glauca,,backyard,1,net,EW,8,,
11188667,524107,,,,,,,,,,Nemophila menziesii atomaria,,"","",net,"","","",""
11189379,754260,"3334 NW Covey Run, Corvallis, OR 97330, USA",44.59897829,-123.31543855,,Benton,Oregon,United States,Oregon,vine hill manzanita,Arctostaphylos densiflora,,backyard,1,net,EW,9,,
11190260,175529,"3700 NW Highland Dr, Corvallis, OR, US",44.6031134483,-123.2651744598,,Benton,Oregon,United States,Oregon,"",,,"",5,net,JLP,8,"",""
11190666,175529,"3700 NW Highland Dr, Corvallis, OR, US",44.60317933,-123.2641949506,,Benton,Oregon,United States,Oregon,,Arctostaphylos columbiana,,"",1,net,JLP,9,"",""
11190845,175529,"1255 NW Highland Dell Dr, Corvallis, OR, US",44.6030015499,-123.2643634268,,Benton,Oregon,United States,Oregon,Oregon grape,Berberis aquifolium,,"","",net,"","","",""
11220724,858490,"811 SW 67th St, Redmond, OR 97756, USA",44.26748393,-121.25210289,,Deschutes,Oregon,United States,Oregon,Wax Currant,Ribes cereum,,"Redmond, Eagle Crest Resort, river path",1,net,hw,1,,
11222406,858490,"1140 Swallow Ln, Redmond, OR 97756, USA",44.26505678,-121.2502844,,Deschutes,Oregon,United States,Oregon,Wax Currant,Ribes cereum,,"Redmond, Eagle Crest Resort, river path",1,net,hw,2,,
11223110,858490,"1140 Swallow Ln, Redmond, OR 97756, USA",44.26472721,-121.25028794,,Deschutes,Oregon,United States,Oregon,Wax Currant,Ribes cereum,,"Redmond, Eagle Crest Resort",2,net,hw,3,,
11223844,861496,"6500 Falcon Crest Dr, Redmond, OR, US",44.2596664327,-121.2491414231,,Deschutes,Oregon,United States,Oregon,Flowering olum,Prunus triloba,,Eagle Crest,1,net,NP,2,"",""
11223854,858490,"1138 Swallow Ln, Redmond, OR 97756, USA",44.26402893,-121.24935347,,Deschutes,Oregon,United States,Oregon,Wax Currant,Ribes cereum,,"Redmond, Eagle Crest Resort, river path",1,net,hw,4,,
11238203,858275,"25415 Bachelor Ln, Bend, OR 97701, USA",44.08805896,-121.05621363,,Deschutes,Oregon,United States,Oregon,sandspurry,Angiospermae,,"Oregon, central, alfalfa",1,net,SA,06,,
11243183,861496,"1700 Condor Dr, Redmond, OR, US",44.2600332006,-121.2628310052,,Deschutes,Oregon,United States,Oregon,Euphorbia subg. Esula,Euphorbia subg esula,,"Eagle Crest Resort, Redmond",1,net,NP,3,"",""
11284988,792468,"6451 NE Hilltop Ln, Dayton, OR, US",45.2580205311,-123.0744696172,,Yamhill,Oregon,United States,Oregon,Oregon grape,Berberis aquifolium,,"Dayton, Winters Hill Estate",7,net,Mol,37,"",""
11285588,792468,"6451 NE Hilltop Ln, Dayton, OR, US",45.2579680636,-123.0743969952,,Yamhill,Oregon,United States,Oregon,Kinnikinnick,Arctostaphylos adenotricha,,"Dayton, Winters Hill Rsyaye",2,net,Mol,38,"",""
11285796,175529,"1255 NW Highland Dell Dr, Corvallis, OR, US",44.6030884702,-123.2641190105,,Benton,Oregon,United States,Oregon,Bearberry,Arctostaphylos uva-ursi,,"",4,net,JLP,11,"",""
11286717,792468,"6451 NE Hilltop Ln, Dayton, OR, US",45.2574558784,-123.0756008397,,Yamhill,Oregon,United States,Oregon,Field Mustard,Brassica rapa,,"Dayton, Winters Hill Estate",8,net,Mol,39,"",""
11286903,429964,"2824 NW Orchard Ave, Corvallis, OR 97330, USA",44.56755587,-123.2829928,,Benton,Oregon,United States,Oregon,Ceanothus,Ceanothus,,osu,5,net,apm,9,,
11290415,792468,"6451 NE Hilltop Ln, Dayton, OR, US",45.2573573842,-123.075932095,,Yamhill,Oregon,United States,Oregon,,Marah oregana,,"Dayton, Winters Hill Esyate",1,net,Mol,40,"",""
11291323,792468,"6451 NE Hilltop Ln, Dayton, OR, US",45.2590248016,-123.0738235019,,Yamhill,Oregon,United States,Oregon,,Ribes sanguineum,,Winter's Hill Estate,2,net,Mol,41,"",""
11291742,792468,"6475 NE Hilltop Ln, Dayton, OR, US",45.261717328,-123.0715488126,,Yamhill,Oregon,United States,Oregon,Dandelions,Taraxacum,,"Dayton, Winters Hill Estate",4,net,Mol,42,"",""
11291901,792468,"Dayton, OR  97114, Dayton, OR, US",45.2620091913,-123.0712839434,,Yamhill,Oregon,United States,Oregon,Pacific Bleeding Heart,Dicentra formosa,,"Dayton, Winters Hill Estate",1,net,Mol,43,"",""
11293629,429964,"2708 NW Johnson Ave, Corvallis, OR 97330, USA",44.5684623718,-123.2815093994,,Benton,Oregon,United States,Oregon,Miserable Miner,Andrena miserabilis,,"",12,net,apm,10,,
11294671,271351,Luckiamute State Natural Area,44.73117,-123.15244,,Polk,Oregon,United States,Oregon,Symphoricarpos albus,Symphoricarpos albus,,Luckiamute State natural Area,1,net,TER,7,,
11294733,271351,Luckiamute State Natural Area,44.7326,-123.15124,,Polk,Oregon,United States,Oregon,Berberis aquifolium,Berberis aquifolium,,Luckiamute State Natural Area,1,net,TER,8,,
11294799,271351,Luckiamute State Natural Area,44.73308,-123.15064,,Polk,Oregon,United States,Oregon,Berberis aquifolium,Berberis aquifolium,,Luckiamute State Natural Area,3,net,TER,9,,
11295056,271351,"Polk County, US-OR, US",44.7372,-123.14677,,Polk,Oregon,United States,Oregon,Salix sp.,Salix,,Luckiamute State Natural Area,1,net,TER,10,,
11295420,271351,"Clackamas County, US-OR, US",45.28177,-122.74948,,Clackamas,Oregon,United States,Oregon,Bamboo,,,NWREC,1,net,TER,12,,
11295754,271351,Luckiamute State Area,44.73117,-123.15244,,Polk,Oregon,United States,Oregon,Taraxacum officinale,Taraxacum officinale,,Luckiamute State Natural area,1,net,JAB,2,,
11295829,271351,Luckiamute State Area,44.73117,-123.15244,,Polk,Oregon,United States,Oregon,Bellis perennis,Bellis perennis,,Luckiamute State Natural Area,1,net,JAB,3,,
11295918,271351,Luckiamute State Area,44.7372,-123.14677,,Polk,Oregon,United States,Oregon,Salix,Salix,,Luckiamute State Natural Area,1,net,JAB,4,,
11296096,271351,Luckiamute State Area,44.73892,-123.14405,,Polk,Oregon,United States,Oregon,"",,,Luckiamute State Natural area,1,vane trap,JAB,5,April 18  13:55,April 19 14:45
11296548,271351,Luckiamute State Natural Area,44.73669,-123.14688,,Polk,Oregon,United States,Oregon,Bellis perennis,Bellis perennis,,Luckiamute State Natural Area,1,net,TER,11,,
11322664,843723,tumalo bend oregon,44.18173,-121.317563,,Deschutes,Oregon,United States,Oregon,Wax Currant,Ribes cereum,,Twin Bridges trailhead,6,net,GP,1,,
11323792,843723,eagle crest resort oregon,44.267583,-121.255859,,Deschutes,Oregon,United States,Oregon,Wax Currant,Ribes cereum,,Eagle Crest river trail,3,net,GP,2,,
11323902,843723,eagle crest resort oregon,44.267522,-121.255065,,Deschutes,Oregon,United States,Oregon,Wax Currant,Ribes cereum,,Eagle Crest river trail,3,net,GP,3,,
11324081,843723,"Safeway Century Drive, Bend, Oregon",44.047323,-121.329507,,Deschutes,Oregon,United States,Oregon,Golden Currant,Ribes aureum,,"Safeway, Century Dr.",2,net,GP,4,,
11324407,843723,"twin bridges Rd, tumalo bend oregon",44.182155,-121.318167,,Deschutes,Oregon,United States,Oregon,Wax Currant,Ribes cereum,,Twin Bridges trailhead,8,net,rlp,1,,
11324761,843723,Eagle Crest Resort,44.267651,-121.255947,,Deschutes,Oregon,United States,Oregon,Wax Currant,Ribes cereum,,Eagle Crest River Trail,3,net,rlp,2,,
